Expected Years of Schooling,avg_temp,Marriage,avg_income,Divorce,HDI Rank (2021),avg_temp_c,education_expenditure,IQ,Hemisphere_Northern Hemisphere,Hemisphere_Southern Hemisphere
12.98799113,24.939486947249716,4.940543733983164,7446.567417507158,1.800270883444213,105.0,23.580674154359063,409.7462800450428,88.29712891336501,0,1
12.98799113,24.939486947249716,4.940543733983164,7446.567417507158,1.800270883444213,105.0,23.580674154359063,409.7462800450428,88.29712891336501,0,1
12.98799113,24.939486947249716,4.940543733983164,7446.567417507158,1.800270883444213,105.0,23.580674154359063,409.7462800450428,88.29712891336501,0,1
15.08160973,21.1,5.3,6056.0,1.4,49.0,17.450348321722608,409.7462800450428,85.0,1,0
13.40492042,24.939486947249716,7.5,7446.567417507158,1.5,110.0,27.87317765856737,409.7462800450428,88.29712891336501,1,0
14.94697094,27.6,4.940543733983164,1912.0,1.800270883444213,118.0,15.493046193368675,156.0,79.0,0,1
8.658349991,9.5,5.3,8241.0,3.9,35.0,9.903240821966362,338.0,96.0,0,0
13.8,24.939486947249716,4.8,7446.567417507158,0.6,74.0,12.599125406522289,409.7462800450428,88.29712891336501,1,0
14.44274998,30.3,2.3,5037.0,0.7,88.0,25.7464461354203,231.0,83.0,1,0
14.44274998,30.3,2.3,5037.0,0.7,88.0,25.7464461354203,231.0,83.0,1,0
14.44274998,30.3,2.3,5037.0,0.7,88.0,25.7464461354203,231.0,83.0,1,0
14.44274998,30.3,2.3,5037.0,0.7,88.0,25.7464461354203,231.0,83.0,1,0
14.44274998,30.3,2.3,5037.0,0.7,88.0,25.7464461354203,231.0,83.0,1,0
14.44274998,30.3,2.3,5037.0,0.7,88.0,25.7464461354203,231.0,83.0,1,0
14.44274998,30.3,2.3,5037.0,0.7,88.0,25.7464461354203,231.0,83.0,1,0
14.44274998,30.3,2.3,5037.0,0.7,88.0,25.7464461354203,231.0,83.0,1,0
14.46655802,31.7,4.4,4964.0,1.8,80.0,26.611135202841,158.0,82.0,1,0
14.62423038,25.6,5.6,4159.0,1.1,95.0,20.02032291330105,199.0,79.0,0,1
15.38773354,24.939486947249716,4.940543733983164,7446.567417507158,1.800270883444213,84.0,20.128851646912068,409.7462800450428,88.29712891336501,0,1
15.38773354,24.939486947249716,4.940543733983164,7446.567417507158,1.800270883444213,84.0,20.128851646912068,409.7462800450428,88.29712891336501,0,1
15.38773354,24.939486947249716,4.940543733983164,7446.567417507158,1.800270883444213,84.0,20.128851646912068,409.7462800450428,88.29712891336501,0,1
15.38773354,24.939486947249716,4.940543733983164,7446.567417507158,1.800270883444213,84.0,20.128851646912068,409.7462800450428,88.29712891336501,0,1
15.38773354,24.939486947249716,4.940543733983164,7446.567417507158,1.800270883444213,84.0,20.128851646912068,409.7462800450428,88.29712891336501,0,1
15.38773354,24.939486947249716,4.940543733983164,7446.567417507158,1.800270883444213,84.0,20.128851646912068,409.7462800450428,88.29712891336501,0,1
15.38773354,24.939486947249716,4.940543733983164,7446.567417507158,1.800270883444213,84.0,20.128851646912068,409.7462800450428,88.29712891336501,0,1
15.38773354,24.939486947249716,4.940543733983164,7446.567417507158,1.800270883444213,84.0,20.128851646912068,409.7462800450428,88.29712891336501,0,1
13.12656975,31.9,4.940543733983164,2330.0,1.800270883444213,116.0,23.91171924290221,67.0,83.0,1,0
13.12656975,31.9,4.940543733983164,2330.0,1.800270883444213,116.0,23.91171924290221,67.0,83.0,1,0
13.12656975,31.9,4.940543733983164,2330.0,1.800270883444213,116.0,23.91171924290221,67.0,83.0,1,0
13.12656975,31.9,4.940543733983164,2330.0,1.800270883444213,116.0,23.91171924290221,67.0,83.0,1,0
13.12656975,31.9,4.940543733983164,2330.0,1.800270883444213,116.0,23.91171924290221,67.0,83.0,1,0
13.12656975,31.9,4.940543733983164,2330.0,1.800270883444213,116.0,23.91171924290221,67.0,83.0,1,0
13.12656975,31.9,4.940543733983164,2330.0,1.800270883444213,116.0,23.91171924290221,67.0,83.0,1,0
13.12656975,31.9,4.940543733983164,2330.0,1.800270883444213,116.0,23.91171924290221,67.0,83.0,1,0
13.89729023,18.1,4.1,5703.0,1.5,68.0,12.838252662963804,224.0,91.0,1,0
12.88694954,24.6,4.940543733983164,595.0,1.800270883444213,143.0,20.797851296806098,22.0,51.0,1,0
13.11676025,24.939486947249716,6.0,7446.567417507158,1.0,85.0,8.561043258534719,409.7462800450428,88.29712891336501,1,0
11.65303618,24.939486947249716,13.5,7446.567417507158,1.4,122.0,17.33840057679262,409.7462800450428,88.29712891336501,1,0
14.62689602,26.5,10.1,3684.0,1.6,91.0,19.14418898617392,253.0,77.0,1,0
